Environment	abf_r	abf_b
60.300000	0.200905	0.665706
60.400000	0.180781	0.662426
60.500000	0.161293	0.659122
60.600000	0.142431	0.655796
60.700000	0.124184	0.652447
60.800000	0.106543	0.649075
60.900000	0.089495	0.645682
61.000000	0.073030	0.642267
61.100000	0.057136	0.638829
61.200000	0.041801	0.635371
61.300000	0.027014	0.631891
61.400000	0.012762	0.628391
61.500000	-0.000967	0.624870
61.600000	-0.014185	0.621328
61.700000	-0.026904	0.617766
61.800000	-0.039137	0.614185
61.900000	-0.050896	0.610583
62.000000	-0.062194	0.606963
62.100000	-0.073042	0.603323
62.200000	-0.083454	0.599664
62.300000	-0.093441	0.595987
62.400000	-0.103017	0.592291
62.500000	-0.112192	0.588577
62.600000	-0.120979	0.584845
62.700000	-0.129391	0.581095
62.800000	-0.137438	0.577329
62.900000	-0.145133	0.573545
63.000000	-0.152486	0.569744
63.100000	-0.159511	0.565927
63.200000	-0.166217	0.562093
63.300000	-0.172616	0.558244
63.400000	-0.178718	0.554378
63.500000	-0.184534	0.550498
63.600000	-0.190075	0.546602
63.700000	-0.195351	0.542691
63.800000	-0.200372	0.538765
63.900000	-0.205147	0.534825
64.000000	-0.209687	0.530871
64.100000	-0.213999	0.526903
64.200000	-0.218095	0.522921
64.300000	-0.221982	0.518926
64.400000	-0.225669	0.514918
64.500000	-0.229164	0.510898
64.600000	-0.232476	0.506865
64.700000	-0.235613	0.502819
64.800000	-0.238582	0.498762
64.900000	-0.241390	0.494693
65.000000	-0.244045	0.490613
65.100000	-0.246554	0.486522
65.200000	-0.248924	0.482420
65.300000	-0.251161	0.478307
65.400000	-0.253271	0.474184
65.500000	-0.255260	0.470051
65.600000	-0.257135	0.465909
65.700000	-0.258901	0.461757
65.800000	-0.260563	0.457596
65.900000	-0.262126	0.453426
66.000000	-0.263596	0.449248
66.100000	-0.264978	0.445062
66.200000	-0.266275	0.440867
66.300000	-0.267493	0.436665
66.400000	-0.268635	0.432455
66.500000	-0.269706	0.428239
66.600000	-0.270710	0.424015
66.700000	-0.271650	0.419785
66.800000	-0.272530	0.415549
66.900000	-0.273353	0.411306
67.000000	-0.274122	0.407059
67.100000	-0.274841	0.402805
67.200000	-0.275512	0.398547
67.300000	-0.276138	0.394284
67.400000	-0.276722	0.390016
67.500000	-0.277267	0.385744
67.600000	-0.277774	0.381468
67.700000	-0.278247	0.377188
67.800000	-0.278686	0.372905
67.900000	-0.279095	0.368619
68.000000	-0.279475	0.364330
68.100000	-0.279827	0.360038
68.200000	-0.280155	0.355744
68.300000	-0.280459	0.351448
68.400000	-0.280740	0.347151
68.500000	-0.281001	0.342852
68.600000	-0.281243	0.338552
68.700000	-0.281466	0.334251
68.800000	-0.281673	0.329950
68.900000	-0.281864	0.325648
69.000000	-0.282041	0.321346
69.100000	-0.282204	0.317045
69.200000	-0.282354	0.312744
69.300000	-0.282493	0.308444
69.400000	-0.282621	0.304145
69.500000	-0.282738	0.299848
69.600000	-0.282846	0.295552
69.700000	-0.282946	0.291258
69.800000	-0.283037	0.286967
69.900000	-0.283121	0.282678
70.000000	-0.283199	0.278391
70.100000	-0.283269	0.274108
70.200000	-0.283334	0.269828
70.300000	-0.283393	0.265552
70.400000	-0.283448	0.261279
70.500000	-0.283497	0.257011
70.600000	-0.283543	0.252747
70.700000	-0.283584	0.248488
70.800000	-0.283622	0.244234
70.900000	-0.283657	0.239985
71.000000	-0.283688	0.235742
71.100000	-0.283717	0.231504
71.200000	-0.283743	0.227272
71.300000	-0.283767	0.223047
71.400000	-0.283789	0.218828
71.500000	-0.283808	0.214616
71.600000	-0.283826	0.210411
71.700000	-0.283842	0.206213
71.800000	-0.283857	0.202023
71.900000	-0.283870	0.197841
72.000000	-0.283882	0.193667
72.100000	-0.283893	0.189501
72.200000	-0.283903	0.185344
72.300000	-0.283912	0.181195
72.400000	-0.283920	0.177056
72.500000	-0.283927	0.172926
72.600000	-0.283934	0.168806
72.700000	-0.283940	0.164695
72.800000	-0.283945	0.160595
72.900000	-0.283950	0.156505
73.000000	-0.283954	0.152426
73.100000	-0.283958	0.148357
73.200000	-0.283961	0.144299
73.300000	-0.283964	0.140253
73.400000	-0.283967	0.136218
73.500000	-0.283970	0.132195
73.600000	-0.283972	0.128184
73.700000	-0.283974	0.124185
73.800000	-0.283976	0.120199
73.900000	-0.283977	0.116225
74.000000	-0.283979	0.112264
74.100000	-0.283980	0.108317
74.200000	-0.283981	0.104382
74.300000	-0.283982	0.100462
74.400000	-0.283983	0.096555
74.500000	-0.283984	0.092662
74.600000	-0.283984	0.088783
74.700000	-0.283985	0.084918
74.800000	-0.283985	0.081069
74.900000	-0.283986	0.077234
75.000000	-0.283986	0.073414
75.100000	-0.283987	0.069609
75.200000	-0.283987	0.065820
75.300000	-0.283987	0.062046
75.400000	-0.283988	0.058289
75.500000	-0.283988	0.054547
75.600000	-0.283988	0.050822
75.700000	-0.283988	0.047113
75.800000	-0.283988	0.043420
75.900000	-0.283989	0.039745
76.000000	-0.283989	0.036086
76.100000	-0.283989	0.032445
76.200000	-0.283989	0.028821
76.300000	-0.283989	0.025214
76.400000	-0.283989	0.021626
76.500000	-0.283989	0.018055
76.600000	-0.283989	0.014502
76.700000	-0.283989	0.010967
76.800000	-0.283989	0.007451
76.900000	-0.283989	0.003954
77.000000	-0.283989	0.000475
77.100000	-0.283989	-0.002985
77.200000	-0.283989	-0.006426
77.300000	-0.283989	-0.009848
77.400000	-0.283989	-0.013250
77.500000	-0.283989	-0.016633
77.600000	-0.283989	-0.019997
77.700000	-0.283989	-0.023340
77.800000	-0.283989	-0.026664
77.900000	-0.283989	-0.029967
78.000000	-0.283989	-0.033250
78.100000	-0.283989	-0.036513
78.200000	-0.283989	-0.039755
78.300000	-0.283989	-0.042977
78.400000	-0.283989	-0.046178
78.500000	-0.283989	-0.049358
78.600000	-0.283989	-0.052517
78.700000	-0.283989	-0.055655
78.800000	-0.283989	-0.058772
78.900000	-0.283989	-0.061868
79.000000	-0.283989	-0.064942
79.100000	-0.283989	-0.067994
79.200000	-0.283989	-0.071025
79.300000	-0.283989	-0.074034
79.400000	-0.283989	-0.077021
79.500000	-0.283989	-0.079986
79.600000	-0.283989	-0.082929
79.700000	-0.283989	-0.085850
79.800000	-0.283989	-0.088749
79.900000	-0.283989	-0.091625
80.000000	-0.283989	-0.094479
