N1	N2	time	environment	abf_1	abf_2
1388.787448	0.000000	97.500000	45.464031	-0.151800	0.022811
1351.703709	0.000000	97.750000	45.464031	-0.076566	0.052905
1333.247553	0.000000	98.000000	45.464031	-0.039144	0.067874
1510.824342	0.000000	98.250000	47.099692	0.345063	-0.047910
1602.959004	0.000000	98.500000	47.099692	0.158138	-0.122680
1646.284055	0.000000	98.750000	47.099692	0.070118	-0.157887
1665.712677	0.000000	99.000000	47.099692	0.030622	-0.173686
1454.813074	0.000000	99.250000	45.298890	-0.367496	-0.034282
1363.497488	0.000000	99.500000	45.298890	-0.182018	0.039909
1319.682561	0.000000	99.750000	45.298890	-0.093144	0.075459
1297.626280	0.000000	100.000000	45.298890	-0.048434	0.093343
1286.255119	0.000000	100.250000	49.265022	-0.025392	0.102560
1280.320555	0.000000	100.500000	49.265022	-0.013368	0.107369
1277.203556	0.000000	100.750000	49.265022	-0.007054	0.109895
1275.560947	0.000000	101.000000	49.265022	-0.003726	0.111226
1582.550452	0.000000	101.250000	48.263319	0.590487	-0.092894
1747.389225	0.000000	101.500000	48.263319	0.255983	-0.226696
1821.766797	0.000000	101.750000	48.263319	0.104686	-0.287214
1852.676827	0.000000	102.000000	48.263319	0.041742	-0.312392
1934.299244	0.000000	102.250000	49.685145	0.104995	-0.371345
1966.396791	0.000000	102.500000	49.685145	0.039559	-0.397520
1978.561131	0.000000	102.750000	49.685145	0.014749	-0.407443
1983.106345	0.000000	103.000000	49.685145	0.005477	-0.411152
1874.148244	0.000000	103.250000	52.196009	-0.137820	-0.334510
1833.328219	0.000000	103.500000	52.196009	-0.054612	-0.301227
1817.287915	0.000000	103.750000	52.196009	-0.021934	-0.288156
1810.867273	0.000000	104.000000	52.196009	-0.008857	-0.282925
1919.619923	0.000000	104.250000	49.999341	0.142939	-0.359120
1963.216957	0.000000	104.500000	49.999341	0.054079	-0.394664
1979.843733	0.000000	104.750000	49.999341	0.020170	-0.408228
1986.063416	0.000000	105.000000	49.999341	0.007482	-0.413303
1958.526580	0.000000	105.250000	51.100454	-0.033473	-0.394022
1948.297154	0.000000	105.500000	51.100454	-0.012608	-0.385676
1944.451290	0.000000	105.750000	51.100454	-0.004765	-0.382539
1942.998889	0.000000	106.000000	51.100454	-0.001803	-0.381354
1949.047412	0.000000	106.250000	50.968922	0.007492	-0.385575
1951.335543	0.000000	106.500000	50.968922	0.002825	-0.387442
1952.198828	0.000000	106.750000	50.968922	0.001065	-0.388146
1952.524208	0.000000	107.000000	50.968922	0.000401	-0.388412
1969.558113	0.000000	107.250000	49.499049	0.020835	-0.400499
1975.964228	0.000000	107.500000	49.499049	0.007768	-0.405726
